Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Cons-Cyc,NKE,1.007947,80.7141,1.012,1.054,0.9685,0.985,1.007833,1.012,0.9948571,1.009286,1.032583,1.013167,1.011842,0.9942941
Cons-Cyc,NLS,1.009658,11.0164,0.9773333,1.031667,1.001,0.979,1.073889,1.02925,0.909,1.028857,0.998,1.0825,0.9694,1.036
BasicInd,NOR,0.9943008,3.792133,0.9975,1.084,0.988,0.9696,0.914,1.039,1.049667,0.9481429,1.0342,0.943,0.969,0.9955
Utilities,NRG,0.9975578,30.78001,0.9950588,1.012667,1.02665,1.021,1.012,0.9968572,0.9724,1.006778,1.02,0.99075,0.923,0.9935334
Energy,NRP,0.9923467,14.50833,0.95125,0.9995714,1.0195,0.99825,0.9801667,1.030286,0.9981667,0.994,0.9511667,1.012636,0.962,1.011167
Trans,NSC,1.007774,101.8237,1.022714,1.024833,1.010857,0.9975,1.012,1.009923,1.010833,1.019714,0.9953334,1.008556,0.9814166,0.9996111
BasicInd,NSU,0.99731,3.726798,1.004333,1.002,0.952,0.9885,0.9987143,1.0305,1.021571,1.022857,0.9487778,0.9678,1.027,1.003667
Energy,NTI,1.001876,25.38912,1.0065,1.005167,1.032333,1.032833,1.01025,0.996,1.0024,1.006625,0.9924,0.989,0.962,0.987
Banks,OFG,1.011284,16.43884,1.041,1.022667,1.0039,1.00445,1.0121,0.99985,0.9652381,1.0027,1.022,1.031,1.032,0.9985
Utilities,OKE,1.007548,60.91031,1.008167,1.009083,0.9967273,1.0225,1.01775,1.0495,1.009,1.048,0.9745,0.9675,0.9827778,1.005067
Utilities,OKS,0.9975646,52.51794,1.023385,1.027667,1.022,1.0066,0.9975,1.03,1.003,1.006,0.9936666,0.9576,0.9740714,0.9292857
Utilities,OTTR,1.005754,29.14532,0.989,1.0206,1.0001,0.9975,0.9868,1.0215,0.993625,1.016429,1.013,1.015,1.0275,0.988
Energy,OXY,0.9960562,93.18597,0.9882222,1.015,0.9956667,1.006,1.014833,0.9995,0.9995,1.006286,0.9926667,0.972,0.993,0.97
Service,PCLN,1.003793,1200.977,1.003333,1.043222,0.9921666,0.9897692,1.0275,0.98875,1,0.9596667,0.9816111,0.986,1.049,1.0245
Insurance,PFG,1.000345,49.3258,0.9582,1.025667,0.988,0.99125,1.0215,1.006167,0.99175,1.028333,0.971,1.02775,1.0036,0.9909231
SemiCon,PG,1.001153,82.38771,0.9926667,1.011,1.0125,1.007,0.986,0.99,0.9952857,1.009667,0.9983125,1.013071,1.0038,0.9945333
BasicInd,PH,0.993638,120.6411,0.894,1.008,0.987,0.9875,1.002333,1.029,0.9732222,1.0236,0.9705,1.056,0.9795,1.013
Cons-Cyc,PII,1.000152,140.3988,0.9556,1.0259,0.99,1.012111,0.991,0.9965,1.0105,1.009,1.013333,1.00825,0.99,0.999625
Utilities,POWR,1.01732,13.87655,1.002167,1.018,1.004273,0.9706,1.1045,1.015445,1.033286,1.026,0.9321429,1.051429,1.056,0.994
Insurance,PRU,0.9989258,86.36291,0.95925,1.020857,0.9964545,0.9855833,1.019526,1.0082,0.9874375,1.0062,1.003214,0.9967368,1.0054,0.99825
ETFs,PSEC,0.9991879,10.27484,0.9991111,1.000667,0.995,1.0029,0.9936,1.034769,0.9981667,0.986375,0.987,0.994,0.999,0.9996666
Cons-Cyc,PVH,1.001792,120.6207,0.9834,1.010667,1.011333,1.005,1.006,0.987,0.9957,1.0265,0.992,0.9835,1.0184,1.002
Energy,PXD,0.9967335,189.7334,1.0042,1.039,0.98525,1.0185,1.012091,1.013333,0.9965,0.9887273,0.9727,0.98,0.9593333,0.9911667
SemiCon,QCOM,0.9968597,75.79805,1.001,1.019,1.0006,0.9663333,1,0.9918,0.977125,1.011615,0.996,0.997,0.997,1.004842
Insurance,RE,1.005496,160.1531,1.001,0.997,1.028,1.0144,1.015,0.9983333,1.0035,1.005,0.999,1.008667,1.0038,0.99225
Insurance,RGA,1.002153,80.09081,0.9841667,1.005,1.023333,0.9973333,1.008,1.0032,0.9914,1.0122,0.982,0.998,1.011,1.0102
BasicInd,RGLD,0.9990291,67.20901,1.0465,1.0158,0.9950714,1.0022,0.98775,1.0415,1.00375,0.967,0.9701111,0.9766667,0.984,0.998
Trans,RJET,1.004767,10.73062,0.9635,1.027,0.9983333,1.041,1.0245,1.0138,0.992,1.01,0.9763334,1.0082,0.9973333,1.0052
ETFs,RPXC,0.9977568,15.44504,0.9565,1.020833,1.0155,0.9913334,1.001636,1.042778,0.9625714,1.002177,0.9839333,0.9907143,0.994,1.011105
Trans,RRTS,1.007944,24.73519,0.9455,1.027444,1.0165,1.008,1.053,1.026667,1.017,0.9992,0.972,0.99275,1.021375,1.015889
Banks,RY,1.002399,69.06917,0.9922857,1.015778,1.0065,0.9975,1.017333,1.009833,1.0012,1.013556,0.9837334,1.003833,1.000737,0.9865
Tech,SCSC,1.00423,38.22052,1.0005,1.03375,0.985,0.96725,1.007833,0.9998333,1.007,1.037,0.9695,1.032,1.005556,1.005538
Utilities,SEP,1.005733,51.28185,0.9942857,1.015286,1.010125,1.015286,1.001667,1.001143,0.997,1.033,0.979,1.025,0.9755,1.0215
SemiCon,SIMG,0.996757,5.516722,0.9881667,1.024571,0.9375,0.9633333,0.9753333,0.9936429,1.002462,1.004625,0.98,1.0292,1.105,0.95725
