Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Tech,AAPL,0.9971851,472.3476,0.9810714,0.9935455,1.001571,0.9905,0.961,1.021,1.03375,1.01025,0.9608333,0.9945,1.023,0.9952
InvServ,AB,1.006846,21.89937,1.016833,1.029917,0.9776154,1.0432,0.9936666,0.96025,1.039545,1.0136,1.011,1.015818,0.99125,0.9894615
Basiclnd,ABX,0.9923127,21.13506,0.9828,0.9746111,0.9843333,0.731,1.0475,0.9242,1.046529,1.101,1.042,1.056,0.9707778,1.047
Insurance,ACE,1.002067,91.76743,1.005,1.000455,1.005067,1.005222,0.9935,1.015,0.997625,0.9946111,1.013,0.9962223,1.0016,0.9975
SemiCond,ADI,1.002144,46.76214,1.019167,1.006333,0.9918571,1.011875,1.007714,0.997,1.017714,0.9811,1.00025,1.009857,1.002111,0.98075
Cons-NonCyc,ADS,1.005163,193.6245,0.9805,1.0102,0.9973333,1.005,0.99375,1.003667,1.024875,0.9996,1.0082,1.027222,0.9951111,1.0165
Utilities,AEP,1.000512,45.93448,1.004833,1.008429,1.003583,1.0094,0.983,0.999,1.000357,0.9846666,1.008647,1.019476,0.9975833,0.9871666
Insurance,AIZ,1.01605,51.92395,1.025,1.0158,1.0265,1.003,1.007833,1.021333,1.0288,0.9976667,1.021,1.032333,1.009667,1.003667
Insurance,AJG,1.005508,43.11061,1.014167,1.005857,1.0149,1.011375,0.9968182,0.9941111,1.013571,0.992,1.011167,1.0169,0.992,1.003231
Basiclnd,AKS,1.010815,4.091734,0.909,0.9123333,0.955,1.068,1.001,1.024667,1.036,0.9226667,1.009667,1.102778,1.035167,1.1535
Transp,ALK,1.003259,61.66868,1.02625,1.093,1.028333,1.0155,0.9392857,0.973,0.987,0.9832,1.013,0.994,1.017538,0.969
SemiCond,ALTR,0.998432,34.23649,0.977,1.041,0.986,1.006167,0.9795,0.9985,1.0145,1.008476,0.9954,0.9795218,0.9873333,1.007786
SemiCond,AMBA,1.042654,17.17329,0.98,0.925,1.223,1.006,1.1795,1.03025,1.035,1.0516,1.05225,0.9735,0.989,1.06675
Health,AMGN,1.010071,104.117,1.012667,1.022692,1.026263,1.0215,0.98365,1.0045,1.0257,1.011357,0.9987333,1.030625,0.9881667,0.995
Energy,APC,0.9970186,87.43596,1.018,0.97825,0.9835,0.9912223,1.003667,1.00575,1.0035,1.006471,1.010571,1.007364,0.9947857,0.9611428
Basiclnd,AUY,0.9969582,11.54878,1.013,0.9458571,0.98375,1.013667,0.9866428,0.9693334,1.055182,1.090417,0.96775,0.9859,0.974,0.978
Services,AVB,0.9945344,129.6614,0.9728,0.9936,0.991,1.003182,1.013556,1.001539,0.9895555,0.9727778,0.9970909,0.99875,0.999,1.001562
SemiCond,AVGO,1.003353,39.0634,1.001,0.9716667,1.039,0.9793333,0.99,0.9925714,0.992875,1.008615,1.021333,1.006333,0.9912,1.046308
