Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Energy,WLT,0.9857215,47.15677,1.045667,0.976,0.9946667,1.019333,0.9633334,0.9351429,0.8718,0.9797143,0.995,0.985,1.019,1.044
Cons-Cyc,WNC,1.007391,7.969147,1.057333,1.037875,0.905,0.9454,1.021,0.95725,1.002,1.067,1.03775,0.9957143,1.055167,1.0072
Insurance,WRB,1.004632,37.60541,1.0205,0.9907143,1.004833,1.0065,0.9935,1.039333,0.9783333,1.009636,0.9902222,1.02225,1.0016,0.9981667
Cons-NonCyc,WRI,1.008432,26.32467,1.0225,0.9996,0.9905,1.014667,0.9930833,1.0475,1.0425,0.9993333,1.0185,1.018,0.95,1.005
Insurance,WSH,0.9988095,35.92857,1.002333,0.9595833,1.0075,1.013556,0.999,1.019,0.985,1.0094,1.002667,0.9883,1,0.999375
Services,WTW,1.004443,60.55994,1.002,1.020833,0.981,0.9756,1.027,0.9583333,1.003625,1.059857,1.01075,0.9954,0.9967143,1.0222
Services,WYNN,1.00335,112.6961,1.01,1.052,1.008,0.9848334,0.953625,1.019,0.9884444,1.010905,1.03525,0.9976667,0.9719,1.008571
Basiclnd,X,1.004938,23.48417,1.012667,0.947,0.9703,0.934,0.94175,1.029,1.0085,1.0385,1.067625,1.039909,1.017,1.053
Utilities,XEL,0.9983284,27.3007,0.9995,0.9933333,0.993,0.99475,1.007,1.009857,0.996,1.011,1.006,1.008,0.9735,0.988
Cons-NonCyc,XLK,1.004679,29.10237,1.0177,1.009857,1.00921,0.9959412,0.9885714,1.008389,1.004929,1.009381,1.0024,0.9895555,1.010417,1.0098
Energy,XLP,1.001493,34.5857,1.002,1.0062,0.989,1.001,0.9968,1.025,1.009833,1.002,0.988,0.9981667,0.9988571,1.001059
Tech,XLS,1.002267,10.66872,1.00525,1.007,0.972,0.99275,1.02,0.983,0.9963334,1.030667,1.042,0.9782,1.007,0.993
Energy,XOM,1.002221,86.53136,0.99,1.0038,1.0094,1.004727,0.9881111,1.017571,1.012714,1.003333,1.002,0.993,0.9945,1.0075
Tech,XRTX,0.9916431,11.95479,1.068,0.981,0.975,0.9724,0.936,1.015,0.9502,0.9642,0.9138333,1.050583,1.0085,1.065
Basiclnd,YONG,1.040521,4.145238,1.096,0.983,0.9666,0.9582,1.0095,1.0334,1.035333,1.043,1.0635,1.078714,1.049,1.17
Services,YUM,1.006612,68.26685,1.027,1.0052,1.010429,1.017,0.9805,1.019667,1.02,0.9966154,1.005769,1.014,0.9861667,0.997
Cons-Cyc,ZAGG,1.000131,9.511867,1.054667,1.002,1.060625,1.0266,1.067,1.026571,0.9328572,0.82,0.99275,0.9812857,1.003667,1.033556
Cons-NonCyc,ZIP,1.010849,10.73905,1.025375,0.9447,1.00645,0.96775,0.988,1.024143,0.9669,1.0294,0.9988,0.9483333,1.0685,1.161833
