Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Transp,AAL,1.017513,39.1419,1.061235,1.056667,1.003667,0.9921176,1.048,0.9831818,0.9656667,1.015625,0.9749167,1.09925,0.9965,1.013333
Transp,AAWW,1.008282,36.95178,0.9068889,0.9841666,1.074,1.028333,1.0365,1.019,0.982,1.008667,0.966,1.066,1.044333,0.9835
InvServ,AB,1.0058,25.31105,1.01425,1.028588,1.01105,0.993579,1.013278,1.009263,0.997,1.016118,0.9903572,0.99,0.99375,1.012364
Health,ACT,1.023918,225.109,1.01,1.073,1.000667,1.0318,1.015,1.005167,0.993,1.02925,1.032,1.035133,1.078,0.984
Utilities,AEP,1.010674,53.36573,1.0086,1.032,1.005364,1.012154,1.031,0.989,0.983,1.0095,1.002333,1.041667,0.9993334,1.014143
Insurance,AET,1.011022,78.80342,1.0076,1.039,1.012333,0.99125,1.003,1.010692,0.962,1.009143,0.9965,1.04175,1.026,1.033
Insurance,AFL,1.000605,61.29229,0.9975,1.02525,0.9960769,0.9993,0.997875,1.001667,0.9823889,1.017273,0.9854286,0.993,1.0055,1.006
SemiCond,AFOP,1.001264,15.37274,0.942,0.9906,1.037778,1.069308,0.99575,0.9534444,0.976,1.015769,0.9795001,1.035083,0.9911538,1.028778
Insurance,AFSI,1.011996,43.04591,0.98225,1.0315,1.018,1.06875,0.9851,1.008778,1.0355,1.005583,0.9553334,1.052235,1.002625,0.9982941
Insurance,AHL,1.007854,42.59139,0.9814,1.013,1.009737,1.09075,0.9948,1.002889,0.9794167,1.014714,1.008125,0.9976667,0.995,1.00675
Transp,AIRM,0.9974213,52.52993,0.9875,1.005333,1.02,1.006556,0.93575,1.018167,0.994,1.02625,0.9845001,1.036,0.995,0.96
BasicInd,AKS,1.020298,7.275629,1.06,0.9635,1.05325,0.9945,0.98,1.151,1.027308,1.048571,0.9278,1.059636,0.9543077,1.0237
Service,ALEX,0.9986413,39.56036,0.996,1.046,0.981375,0.9744286,1.0036,1.012571,0.9875454,1.012286,0.966,1.014556,0.9856666,1.003667
Transp,ALK,1.006463,70.05128,1.008,1.044,1.001,1.0099,1.0118,0.9805,0.9933333,1.020667,0.992,1.020167,1.001857,0.9943333
SemiCond,AMBA,0.993467,35.00472,0.9095,1.021444,0.8463333,0.956,1.019333,1.049118,0.9715,1.081,1.0299,1.014375,1.0291,0.994
Insurance,AMBC,0.9908376,25.76831,0.9834286,1.104286,0.9955,0.9446,0.962625,0.9707143,0.984579,1.007818,0.9823333,0.961,1.0225,0.9706666
Service,AMZN,0.9826903,330.1251,0.9626,1.0155,0.9450001,0.958,1.002,1.006933,0.9756666,1.018556,0.972,0.9717778,1.02275,0.9415
Cons-Noncyc,ANDE,0.9861445,59.20212,0.98,1.044286,1.008333,1,0.803,1.005769,1.013263,1.046333,0.97495,0.9918,1.016,0.95
Service,APO,1.009012,27.91625,0.9951428,1.00725,1.003333,0.93275,0.9910001,1.037,1.002,1.008667,1.0196,1.0168,0.9686,1.126
Service,APOG,0.9873105,35.72941,0.929,1.025,0.98,0.958,0.982,1.005667,0.9796667,1.037,0.9711428,0.99125,1.03,0.959
Transp,ARII,1.007342,64.65559,1.010143,1.0665,0.9611818,0.98775,1.0246,1.0158,1.014333,1.04575,0.9426666,1.023,0.972375,1.024
Service,ARO,0.988816,4.903849,0.924,1.032,0.8933637,0.9822,0.90225,0.9964445,0.9732,1.052833,0.9558333,1.069,1.091667,0.993
BasicInd,ATI,1.002313,37.33472,0.9635556,1.044429,1.003,1.011444,1.008833,1.0348,0.9477143,1.0139,0.9621667,0.9799167,1.033,1.025
Double Diamond,ATK,0.9917428,129.4288,1.006,1.033,1.032,1.009,0.945,1.0155,0.953,0.9842727,1.020667,0.91,1.0011,0.991375
Service,ATRO,0.9963556,56.66368,0.935,1.073667,0.9226667,0.9876667,1.0053,1.019182,0.9985555,1.037846,0.9643,1.038,0.9553334,1.01875
Utilities,AWR,0.9964163,31.89695,1.003813,1.027,0.996,0.9824666,0.9982,1.01375,0.9666,1.011667,0.959,1.03025,0.98125,0.987
Cons-Cyc,AXL,1.001944,19.1963,0.9693334,0.999,0.996,0.95,1.027,1.04,0.992,1.014,0.97,1.02,1.033,1.013
Banks,AXP,1.007158,88.61737,1.0115,1.0197,0.9998333,0.99925,1.041,1.004636,0.985,1.007875,0.9945334,1.0335,0.9949,0.9941667
Cons-Cyc,AYI,1.00365,129.2499,1.0804,1.031571,0.987,1.005,0.994,1.0105,0.956,1.008222,0.9835,0.982,1.008333,0.9972727
Double Diamond,BA,1.000335,128.7784,0.9731666,1.032167,0.99675,0.9973333,1.008333,0.971,0.99425,1.012421,1.014,1.034,0.985,0.9856
Banks,BAP,1.005891,149.076,1.000062,1.007583,1.021,1.0265,0.9965,0.9976,0.9985,1.011714,0.9892308,1.007,1.005,1.01
Cons-Cyc,BDE,0.9960842,9.940414,0.9775556,1.0152,1.008571,0.979,0.955,0.9773333,0.9915,1.029,0.9585,1.01575,1.027,1.0186
Banks,BOFI,0.9943184,79.02225,0.9635,1.068667,0.9404445,0.9628571,0.9850667,0.9843077,0.9976923,1.005667,0.9743333,1.026667,0.9973333,1.025286
Energy,BTU,0.9885069,14.55679,0.96075,1.015,1.033333,1.054143,0.984,1.001929,0.9941764,0.9946667,0.91275,0.9945714,0.9434,0.9733636
Utilities,BWP,0.987824,17.51675,1.00125,0.7062,1.021937,1.0675,1.010333,0.9785,1.0052,1.031,0.9819167,1.004,0.9998,1.04625
Tech,CALL,0.9958867,13.83878,1.068,1.099,0.9535,0.918,0.9776667,1.019143,1.0069,1.009,0.9402308,0.9957,0.9605,1.003
Cons-Noncyc,CALM,1.001957,63.26162,0.9701765,1.019286,1.023813,0.9859285,1.019143,1.012667,0.9937692,1.0712,1.021,0.9855,0.987,0.934
Double Diamond,CAT,0.9970923,100.9026,1.015692,1.002445,0.9994546,1.009571,1.008417,1.009273,0.9854,1.016278,0.9734167,0.9978572,0.9784286,0.968875
Tech,CATM,1.000162,37.17693,0.98475,0.993,0.963,1.0395,0.9924999,1.019,1.001,0.9996,0.977,1.0446,1.006,0.982
BasicInd,CCJ,1.007308,20.05008,1.0002,1.032286,0.9931667,0.985,0.996,1.017,1.012333,1.005667,0.99,0.9893333,0.988375,1.078333
Service,CCL,1.009352,39.5611,0.978,0.999,1.012143,1.014429,1.017833,0.9835384,0.9951,1.012833,1.00575,1.052,1.0236,1.018
BasicInd,CF,1.003404,253.4907,0.9917273,1.0575,0.997,1.003,0.9973333,0.9805,0.9914,1.000833,1.0525,0.9975556,0.988,0.9835
Energy,CHK,0.9923568,25.05758,1.020429,1.01025,1.0042,1.0244,1.0035,1.0105,0.974647,1.005188,0.9469231,1.017889,0.8988572,0.9915
Transp,CHRW,0.9992094,62.75899,0.9721667,0.998625,0.9992858,1.019,1.009091,1.0158,0.9928,1.004778,0.989,0.9978,1.014,0.9781667
Insurance,CI,1.011866,89.21873,0.9919,1.012625,1.0034,1.030727,1.027286,1.007625,0.9735,1.013,0.9846666,1.066667,1.02,1.011
Energy,CIE,1.008366,15.2317,1.019,1.036071,1.008154,0.99,1.002,1.013,0.9655,1.009222,0.991,1.035,0.9951667,1.036273
