Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Cons-Cyc,ACAT,1.032813,38.46499,1.18975,1.042667,1.067429,0.9984,0.993,1.0165,1.012667,1.005636,1.014667,0.9944375,1.0096,1.049
Energy,ACI,1.000979,8.807364,1.049,0.985,0.9805455,0.9478334,0.9515,0.9855714,1.031167,1.009333,0.964625,1.1525,0.9386,1.016077
Util,AEE,0.996938,32.0168,1.00025,1.0075,1.029,0.971,0.988,0.9965,1.0045,0.9927143,1.001625,0.9745,1.009,0.9886667
Insurance,AEL,1.00271,11.66322,1.044333,0.9796667,1.026714,0.9476,0.9629091,1.0435,1.007,1.0095,0.9978,0.991,1.009,1.0135
Util,AES,0.994893,11.90302,1.02425,1.007333,0.9993333,1,0.9918333,0.958,0.988875,0.9893846,0.983,0.9909286,0.996,1.009778
Banks,AF,1.005166,9.512263,1.0006,0.95875,1.057,1.01,0.98975,1.0289,1.0035,1.0296,1.0046,0.9874167,0.9931111,0.9987692
Tech,AFFX,1.005931,4.177159,1.077,0.897,0.998,1.011,1.053,1.0416,1.001143,1.023143,1.045,0.9664546,0.9793333,0.9785
Services,AGCO,1.010709,46.21281,1.048571,0.9854,0.9849524,0.9997778,1.008,1.022667,1.014667,1.019444,1.043333,0.9622,1.0335,1.006
Cons-Cyc,AGG,0.999932,111.2045,1.001312,1.000294,0.999,1.002375,1.00075,1.003,0.9965,0.998,0.999,1.003,0.9972857,0.9986666
Insurance,AHL,0.9994982,29.07313,0.992875,0.9885714,1.001765,1.005125,0.9932308,1.005,0.9871666,0.9941428,1.017727,0.9908333,0.9999412,1.0176
Services,AHT,1.001844,8.749685,1.04925,0.9465,1.0192,0.9944167,0.9899167,0.9931428,1.00075,1.018571,0.995875,0.992,0.9955,1.027
Insurance,AIG,1.010836,31.54499,1.008667,1.003333,1.001333,1.0085,1.00625,1.043,1.0142,1.01381,1.016461,0.9907619,1.003824,1.019895
Transp,AIR,1.006747,16.27168,1.0425,0.9805,0.93475,0.949,0.9461818,1.054375,1.0135,1.048429,1.065333,0.985,0.9966,1.0648
Insurance,AIZ,0.9975453,37.21085,1.004154,1.009167,0.991,1.003571,0.9752727,1.0075,1.015,1.000875,1.01975,0.9613333,0.9717778,1.011143
Basiclnd,AKS,0.9928063,6.130079,1.041333,0.9755,0.9593333,1.0048,0.9550834,0.8465,1.042,1.049667,0.9366667,1.068625,0.9641666,1.07
Transp,ALGT,1.011673,64.35159,1.0161,0.969875,1.045333,1.0132,1.0205,1.0304,1.0205,1.001,0.9878333,1.035,0.969,1.031333
Services,ALTE,1.013295,23.73726,1.0334,0.9871818,1.000286,1.035625,0.9905,1.009889,1.0065,1.009,1.0114,1.006455,1.0083,1.061
InvServ,AMP,1.003373,55.13113,1.017667,1.014308,0.993,0.9955555,0.9645333,1.007333,1.01675,1.010667,0.999,1.007667,1.009,1.005
Energy,ANR,0.9971929,11.29958,0.941,0.9606,0.9878666,1.029,0.9163333,0.9485714,0.93125,1.05175,0.9578,1.109143,1.037333,1.095667
Energy,APA,1.002046,88.61884,0.9926667,1.061,0.9875,0.989,0.9645,1.015,0.992,1.008286,1.0018,0.9825,1.0185,1.0118
Services,AVAV,1.0069,24.63779,1.0213,1.022625,1.001,0.9845,0.9767778,0.989,0.99375,1.0185,1.02125,0.987,1.0605,1.0066
Cons-NonCyc,AVP,0.9962611,16.94205,1.0145,1.010667,1.024,0.9833077,0.946,1.000429,0.968,0.998,1.006539,0.981375,0.9764286,1.045889
Insurance,AWH,1.005789,74.70541,1.0045,1.014364,1.026,1.0115,1.0045,1.000909,0.9977,0.9949333,1.011444,0.9944286,1.005188,1.004
Insurance,AXS,1.002698,33.80945,1.009,1.000067,1.000429,1.007214,0.9936666,0.9854,0.99875,1.008,1.014923,1.009,1.006385,0.9995385
Basiclnd,B,0.984975,24.34878,1.02,1.007,0.973,1.007,0.959,1.002,0.971,0.973,0.951,0.9645,0.9752,1.017
Services,BA,1.001399,73.28941,0.9994,1.001333,0.987875,1.011286,0.9752857,1.019684,0.9993684,1.000556,0.99525,0.9960001,1.02225,1.0085
Banks,BAC,1.022158,8.612473,1.06425,1.00175,1.062539,0.96375,0.9973333,1.061125,1.034,1.028667,1.006133,1.0082,0.9960833,1.042067
Services,BEE,1.008056,6.194604,1.0338,0.97725,1.01,1.011333,0.9611111,1.030273,1.017,1.0116,0.9726667,1.032444,1.017818,1.021375
Banks,BKMU,1.009276,4.155481,1.063,0.975,1.017917,0.9965556,0.9749231,1.069333,1.0015,1.0152,1.024571,0.9706,0.978,1.024714
Banks,BUSE,1.000679,4.781338,1.004,0.96425,1.003364,0.9992,1.013167,1.017,1.0065,0.996,0.9906667,1.004,0.985,1.025
Util,BWP,1.002764,26.97682,0.9645,0.964,1.012,1.014,1.0235,1.0295,1.028,0.999,1.004,0.996,0.992,1.006667
Services,BXP,1.006162,106.7247,1.033,0.999,1.0055,1.0085,0.9935,1.012846,1.0135,0.9965,0.988,0.9958,1.0048,1.023
Energy,BZ,1.008253,7.720172,1.062,0.9871666,0.9944,0.9728333,0.9715,1.013857,1.046,1.010273,1.084,1.008333,0.9475,1.001167
SemiCond,CAVM,0.9963681,30.89958,1.0165,0.9795,0.9993333,0.9878333,0.9760833,0.9535,1.001,1.02725,1.068,1.006167,1.00825,0.933
Transp,CGI,1.007247,15.75525,1.026,1.013167,1.0075,1.01775,1.021,0.9878889,0.9746,1.004,0.9698,1.0118,1.012333,1.041125
Energy,CHK,1.001628,19.56166,1.018667,1.003,0.9769091,0.935875,1.013273,1.053667,0.9731666,1.025357,1.021625,1.03,0.98,0.988
Transp,CHRW,0.9988397,61.06676,0.9853333,0.9993,0.997625,0.973625,0.9811429,1.045273,0.9595333,1.0187,1.008429,1.019,1.000615,0.9975
Energy,CIE,0.9969758,24.18288,1.065875,1.115,1.001429,0.9463333,0.9760556,0.91,0.9666667,1.00575,1.022,0.975,1.043,0.9366
Energy,CL,1.002209,100.6364,1.011429,0.9985,1.010333,1.00775,0.997,1.015,1.0025,1.002,1.023333,0.977,0.982,0.9996667
Energy,CLD,1.018658,17.90897,1.020667,0.9884,0.9935,1.014,1.051667,1.1145,1.088667,1.0034,0.966,1.009,0.9708,1.0033
Util,CMS,1.008123,23.1842,1.005,0.9932222,1.015,1.009,1.006,1.014667,1.01125,0.9916,1.0005,1.0014,1.032333,1.0175
SemiCond,CNA,1.003658,28.14757,1.020545,0.98,1.017,1.003143,0.9906667,1.005778,0.9843636,0.9976667,1.015333,1.0046,1.015,1.0098
Cap,CNC,0.9989929,40.1138,0.99075,1.031167,1.015667,0.9845,0.9973333,0.9876923,1.074556,1.01425,0.948,1.0045,0.967,0.9725
Util,CNP,1.002195,20.09909,1.004,1.015,1.00925,1.001,1.003167,0.9967778,1.004,0.9971429,1.0045,0.99925,0.97125,1.021
Energy,CNX,1.009997,32.73816,1.005,0.9951667,1.013714,1.01025,1.006,1.001667,0.9978333,1.031,1.038556,1.042,0.9787222,1.000059
SemiCond,CODE,1.006631,11.376,1.1005,0.9676667,0.98425,0.935,0.987,1.023,1.05425,1.012056,0.98475,0.9970526,1.0008,1.03325
Banks,COF,1.013073,54.6983,0.9822857,1.009375,1.039,0.997,0.9785,1.0785,1.02725,1.002667,1.015125,0.9987143,1.009818,1.018647
Energy,COP,1.002506,61.4552,0.999,1.023889,0.9955,0.9716667,0.992,1.0171,1.01925,0.9995385,1.00575,0.9947778,0.9974,1.0142
Services,COR,1.015476,24.37464,1.032133,1.020555,1.030667,1.028833,0.9762728,1.0875,0.9825,1.011,1.018333,0.9452857,1.013125,1.0395
Services,COST,1.00848,92.3818,1.004889,1.002667,1.016636,0.991,1.009,1.0225,1.00175,1.004,1.018,1.000846,1.032143,0.9983333
Transp,CPA,1.023194,81.55952,1.0645,1.025,1.013,0.982,1.0155,1.064,0.991,1.010833,1.076,0.997,1.012,1.0275
Util,CPN,1.004708,17.04518,0.9716667,1.0217,1.019417,1.036,0.982625,0.9936,1.00775,1.013182,0.9908,1.010818,0.996875,1.012067
Util,CPNO,1.007183,31.91532,0.985,1.018833,0.994625,0.985,1.0234,1.023857,1.02525,1.0164,1.013,1.000429,0.9915,1.0089
Energy,CRR,0.9930482,81.7863,0.9518571,0.98275,1.0162,0.959,0.94,1.009857,0.9754286,1.018286,1.0055,1.0045,1.0382,1.015
Transp,CSX,0.9987452,21.46654,1.0087,0.9861818,1.016125,0.9965,0.9796429,1.002538,1.01675,0.9891,0.9708333,0.9915714,0.986,1.041
Util,CVA,1.012381,16.81625,1.012333,1.0535,1.0002,0.993875,1.0056,1.025727,1.010444,1.002333,0.991,1.011556,1.0225,1.0195
Cons-Cyc,CVGI,1.005511,9.344012,1.06575,0.9686667,1.03575,1.011909,0.935,1.0225,0.9714546,1.036111,0.9661429,1.004625,1.018,1.030222
Services,CWST,0.9970942,5.400008,1.01275,0.9867143,1.0316,0.953,0.945,1.022333,0.987375,1.062,1.006857,1.006833,0.889,1.061667
Banks,CYN,1.004588,49.76821,1.0165,0.9933333,1.0215,0.993,0.97775,1.000625,1.003647,1.016444,1.0023,1.017818,0.9973333,1.0148
Util,D,0.9973195,51.8266,1.003667,0.9995,1.012,0.996,0.9925,1.005333,0.999,0.9823333,1.0065,0.9646667,1.012333,0.994
Transp,DAL,1.004485,10.05491,1.0662,0.96,0.998,1.006,0.937,1.022923,0.982,1.008571,0.9783333,1.00675,1.007636,1.0804
Banks,DB,1.006255,40.8437,1.056571,1.012,1.004909,0.9737222,0.9708182,0.9998571,0.9643334,1.049667,1.022824,1.023643,0.986,1.010714
Transp,DCIX,0.9991438,6.327229,0.979,0.9646667,0.9912143,0.9961666,1.0045,1.026,0.9984286,0.9940588,1.0244,1.0262,0.967,1.018091
Services,DEI,1.008349,22.7595,1.0296,1.014667,1.004,1.0079,0.9812222,1.057,1.0125,1.0039,0.9818333,0.9976667,1.000437,1.009462
Insurance,DIA,1.001929,129.6735,1.010143,1.0005,1.002273,1.00525,0.9900714,1.005667,0.999,1.010286,1.01025,0.9945455,0.9875,1.007667
Cons-NonCyc,DMND,0.9943722,20.40256,1.021667,1.055333,1.0028,0.98,0.9406667,0.9545,0.996,1.098,0.975,0.9885715,0.946,0.9739286
Util,DPM,0.9996463,43.63924,0.98775,0.9956667,1.001571,0.9875,0.9622857,1.0327,1.021667,0.9952,1.0268,0.9896154,0.978,1.017
Util,DUK,1.002119,42.61497,1.0022,1.0007,1.006333,1.006692,1.0174,0.9971666,1.007333,0.9910526,1.006,0.9977,0.9955714,0.9972727
Energy,DVN,0.9930657,61.20635,0.9995555,1.009857,1.016143,0.9952,0.9612,0.949,1.001333,0.97425,0.999,1.004,0.99325,1.014
Util,ED,0.997593,59.19574,0.994,0.9988,0.99325,1.008667,1.0135,0.9936666,1.018333,0.986,1.001,0.9804,0.9945,0.989
Energy,EGY,1.01363,8.129941,0.9793333,1.023889,1.014667,0.983625,0.9824,1.021364,0.9701667,1.0202,1.161333,0.9933333,0.97025,1.043
Util,EIX,1.001106,44.0622,1.00775,1,1.009286,1.004,1.00775,0.99975,0.991,0.9965385,1.016111,0.9935,0.9863333,1.00125
Energy,ENB,1.009694,39.44156,1.021333,1.004,1.054,1.024,0.998,1.0075,1.0042,1.0044,1.001,0.9935,1.00025,1.004143
Energy,END,1.004448,8.975454,0.9463333,1.005857,1.011733,1.0238,1.064,1.079167,0.9968,1.0124,0.998,0.9066666,0.9492857,1.059333
Insurance,ENH,1.002663,38.77122,1.011,0.9893333,1.009273,1.004231,0.9826923,0.9979091,0.9922,1.032,1.00225,0.993,1.000823,1.01725
Util,ENOC,1.018813,9.206085,1.005,0.9725,0.9923636,1.002,0.9916363,1.014,0.9856,1.168125,1.057714,1.035375,0.9793333,1.022111
Util,EPD,1.00441,51.27645,1.019882,1.0073,0.9893333,0.992,0.9898182,1.035125,1.008571,1.005875,1.0125,0.9845833,0.9876,1.020333
